set;image;k;p0;p1;entropy_bits
MEDICAL;med_0.bmp;6;0.804924;0.195076;0.711970
MEDICAL;med_0.bmp;7;0.782547;0.217453;0.755489
MEDICAL;med_0.bmp;8;0.998882;0.001118;0.012571
MEDICAL;med_0.bmp;1;0.538692;0.461308;0.995676
MEDICAL;med_0.bmp;2;0.551273;0.448727;0.992401
MEDICAL;med_0.bmp;3;0.618607;0.381393;0.959020
MEDICAL;med_0.bmp;4;0.660923;0.339077;0.923933
MEDICAL;med_0.bmp;5;0.762436;0.237564;0.790966
MEDICAL;med_0.bmp;6;0.804924;0.195076;0.711970
MEDICAL;med_0.bmp;7;0.782547;0.217453;0.755489
MEDICAL;med_0.bmp;8;0.998882;0.001118;0.012571
MEDICAL;med_0.bmp;1;0.538692;0.461308;0.995676
MEDICAL;med_0.bmp;2;0.551273;0.448727;0.992401
MEDICAL;med_0.bmp;3;0.618607;0.381393;0.959020
MEDICAL;med_0.bmp;4;0.660923;0.339077;0.923933
MEDICAL;med_0.bmp;5;0.762436;0.237564;0.790966
MEDICAL;med_0.bmp;6;0.804924;0.195076;0.711970
MEDICAL;med_0.bmp;7;0.782547;0.217453;0.755489
MEDICAL;med_0.bmp;8;0.998882;0.001118;0.012571
MEDICAL;med_0.bmp;1;0.538692;0.461308;0.995676
MEDICAL;med_0.bmp;2;0.551273;0.448727;0.992401
MEDICAL;med_0.bmp;3;0.618607;0.381393;0.959020
MEDICAL;med_0.bmp;4;0.660923;0.339077;0.923933
MEDICAL;med_0.bmp;5;0.762436;0.237564;0.790966
MEDICAL;med_0.bmp;6;0.804924;0.195076;0.711970
MEDICAL;med_0.bmp;7;0.782547;0.217453;0.755489
MEDICAL;med_0.bmp;8;0.998882;0.001118;0.012571
MEDICAL;med_0.bmp;1;0.538692;0.461308;0.995676
MEDICAL;med_0.bmp;2;0.551273;0.448727;0.992401
MEDICAL;med_0.bmp;3;0.618607;0.381393;0.959020
MEDICAL;med_0.bmp;4;0.660923;0.339077;0.923933
MEDICAL;med_0.bmp;5;0.762436;0.237564;0.790966
MEDICAL;med_0.bmp;6;0.804924;0.195076;0.711970
MEDICAL;med_0.bmp;7;0.782547;0.217453;0.755489
MEDICAL;med_0.bmp;8;0.998882;0.001118;0.012571
OTHER;sat_12.bmp;1;0.481308;0.518692;0.998992
OTHER;sat_12.bmp;2;0.477371;0.522629;0.998522
OTHER;sat_12.bmp;3;0.515827;0.484173;0.999277
OTHER;sat_12.bmp;4;0.451382;0.548618;0.993169
OTHER;sat_12.bmp;5;0.699314;0.300686;0.882128
OTHER;sat_12.bmp;6;0.629528;0.370472;0.951034
OTHER;sat_12.bmp;7;0.764061;0.235939;0.788222
OTHER;sat_12.bmp;8;0.828342;0.171658;0.661483
OTHER;sat_12.bmp;1;0.481308;0.518692;0.998992
OTHER;sat_12.bmp;2;0.477371;0.522629;0.998522
OTHER;sat_12.bmp;3;0.515827;0.484173;0.999277
OTHER;sat_12.bmp;4;0.451382;0.548618;0.993169
OTHER;sat_12.bmp;5;0.699314;0.300686;0.882128
OTHER;sat_12.bmp;6;0.629528;0.370472;0.951034
OTHER;sat_12.bmp;7;0.764061;0.235939;0.788222
OTHER;sat_12.bmp;8;0.828342;0.171658;0.661483
OTHER;sat_12.bmp;1;0.481308;0.518692;0.998992
OTHER;sat_12.bmp;2;0.477371;0.522629;0.998522
OTHER;sat_12.bmp;3;0.515827;0.484173;0.999277
OTHER;sat_12.bmp;4;0.451382;0.548618;0.993169
OTHER;sat_12.bmp;5;0.699314;0.300686;0.882128
OTHER;sat_12.bmp;6;0.629528;0.370472;0.951034
OTHER;sat_12.bmp;7;0.764061;0.235939;0.788222
OTHER;sat_12.bmp;8;0.828342;0.171658;0.661483
OTHER;sat_12.bmp;1;0.481308;0.518692;0.998992
OTHER;sat_12.bmp;2;0.477371;0.522629;0.998522
OTHER;sat_12.bmp;3;0.515827;0.484173;0.999277
OTHER;sat_12.bmp;4;0.451382;0.548618;0.993169
OTHER;sat_12.bmp;5;0.699314;0.300686;0.882128
OTHER;sat_12.bmp;6;0.629528;0.370472;0.951034
OTHER;sat_12.bmp;7;0.764061;0.235939;0.788222
OTHER;sat_12.bmp;8;0.828342;0.171658;0.661483
OTHER;sat_12.bmp;1;0.481308;0.518692;0.998992
OTHER;sat_12.bmp;2;0.477371;0.522629;0.998522
OTHER;sat_12.bmp;3;0.515827;0.484173;0.999277
OTHER;sat_12.bmp;4;0.451382;0.548618;0.993169
OTHER;sat_12.bmp;5;0.699314;0.300686;0.882128
OTHER;sat_12.bmp;6;0.629528;0.370472;0.951034
OTHER;sat_12.bmp;7;0.764061;0.235939;0.788222
OTHER;sat_12.bmp;8;0.828342;0.171658;0.661483
